ID,5S.cov
C509.TCGA-86-A456-01A-11D-A24D-08.2,4.66932
C509.TCGA-91-A4BD-01A-11D-A24D-08.1,21.0928
C509.TCGA-95-7039-01A-11D-1945-08.3,7.54465
C509.TCGA-95-7947-01A-11D-2184-08.1,14.6127
C509.TCGA-95-A4VP-01A-21D-A25L-08.4,5.61317
C509.TCGA-97-A4M6-01A-11D-A24P-08.3,9.32007
C509.TCGA-MP-A4TJ-01A-51D-A25L-08.2,6.42485
C529.TCGA-2A-AAYF-01A-11D-A41K-08.1,7.89965
C529.TCGA-CH-5750-01A-11D-1576-08.4,26.8015
C529.TCGA-CH-5792-01A-11D-1576-08.8,71.7728
C529.TCGA-EJ-5508-01A-02D-1576-08.4,6.75862
C529.TCGA-EJ-5517-01A-01D-1576-08.4,7.07029
C529.TCGA-EJ-5518-01A-01D-1576-08.8,5.76348
C529.TCGA-EJ-5530-01A-01D-1576-08.9,5.7237
C529.TCGA-EJ-7312-01B-21D-A32B-08.4,169.004
C529.TCGA-EJ-7315-01A-31D-2114-08.1,45.6821
C529.TCGA-EJ-7331-01A-11D-2114-08.1,15.1357
C529.TCGA-EJ-7788-01A-11D-2114-08.1,33.7834
C529.TCGA-EJ-8470-01A-11D-2395-08.2,28.1494
C529.TCGA-G9-6347-01A-11D-A31L-08.3,12.4792
C529.TCGA-G9-6361-01A-21D-1961-08.2,14.6079
C529.TCGA-HC-7080-01A-11D-1961-08.2,5.43501
C529.TCGA-HC-7211-01A-11D-2114-08.2,38.9938
C529.TCGA-HC-7740-01A-11D-2114-08.1,14.8996
C529.TCGA-HC-7744-01A-11D-2114-08.1,81.4677
C529.TCGA-HC-7748-01A-11D-2114-08.2,15.6286
C529.TCGA-HC-A632-01A-11D-A29Q-08.2,15.4739
C529.TCGA-HC-A6AQ-01A-11D-A30E-08.1,48.5623
C529.TCGA-HC-A76X-01A-11D-A33T-08.1,8.99823
C529.TCGA-J4-A83I-01A-11D-A364-08.1,10.1432
C529.TCGA-J4-A83N-01A-11D-A34U-08.1,8.12025
C529.TCGA-J9-A52C-01A-11D-A26M-08.4,13.286
C529.TCGA-J9-A52E-01A-11D-A26M-08.4,15.1127
C529.TCGA-KK-A59X-01A-11D-A29Q-08.2,8.41733
C529.TCGA-KK-A59Y-01A-11D-A26M-08.3,10.366
C529.TCGA-KK-A6E0-01A-11D-A30X-08.1,4.8603
C529.TCGA-KK-A7AQ-01A-11D-A33T-08.1,5.03802
C529.TCGA-KK-A7B2-01A-12D-A32B-08.2,6.4244
C529.TCGA-KK-A8I4-01A-11D-A364-08.1,7.64235
C529.TCGA-KK-A8I6-01A-11D-A364-08.1,10.6998
C529.TCGA-KK-A8IH-01A-11D-A364-08.1,6.14235
C529.TCGA-KK-A8II-01A-11D-A364-08.1,7.53448
C529.TCGA-QU-A6IL-01A-11D-A31L-08.3,9.6817
C529.TCGA-V1-A8MM-01A-11D-A377-08.1,1.72812
C529.TCGA-V1-A8WS-01A-11D-A377-08.3,6.3771
C529.TCGA-V1-A8WW-01A-11D-A377-08.1,9.74978
C529.TCGA-V1-A9ZK-01A-11D-A41K-08.1,13.8422
C529.TCGA-VN-A88R-01A-11D-A364-08.1,7.2458
C529.TCGA-VP-A876-01A-11D-A34U-08.2,10.6888
C529.TCGA-VP-A879-01A-11D-A34U-08.1,13.3621
C529.TCGA-XK-AAJA-01A-11D-A41K-08.1,15.3249
C529.TCGA-XK-AAJU-01A-11D-A41K-08.2,14.0477
C529.TCGA-YL-A8S9-01A-11D-A377-08.1,10.63
C529.TCGA-YL-A8SB-01A-31D-A377-08.1,8.08311
C529.TCGA-YL-A9WI-01A-11D-A377-08.1,4.23475
c61f5b76-f540-45c1-9d26-535c43bc821e_gdc_realn_rehead,59.492
c662eb1e-d0f9-4e36-b07a-1464ba06ff99_gdc_realn_rehead,75.0561
C662.TCGA-44-6146-01A-21D-A27T-08.2,49.2113
C662.TCGA-44-6147-01A-21D-A27T-08.2,68.2626
C662.TCGA-44-6148-01A-11D-1753-08.4,4.59593
C662.TCGA-50-5931-01A-11D-1753-08.4,2.8015
C662.TCGA-50-5946-01A-11D-1753-08.4,3.19938
C662.TCGA-50-6592-01A-11D-1753-08.4,2.48851
C662.TCGA-55-6543-01A-11D-1753-08.4,5.45844
C662.TCGA-75-5126-01A-01D-1753-08.4,3.52431
c79fd4ee-51a2-4566-b6fd-7c883e5f09d6_gdc_realn_rehead,84.0628
C828.TCGA-BF-A1Q0-01A-21D-A19A-08.2,3.66622
C828.TCGA-BF-A3DM-01A-11D-A20D-08.1,25.0968
C828.TCGA-BF-A9VF-01A-11D-A372-08.2,21.8462
C828.TCGA-BF-AAP8-01A-11D-A401-08.1,20.7091
C828.TCGA-D3-A5GT-01A-12D-A30X-08.1,6.04023
C828.TCGA-D9-A3Z4-01A-11D-A23B-08.1,10.8024
C828.TCGA-EB-A24C-01A-11D-A197-08.2,3.21132
C828.TCGA-EB-A3XE-01A-12D-A23B-08.1,7.71397
C828.TCGA-EB-A3XF-01A-31D-A23B-08.1,24.5721
C828.TCGA-EB-A42Y-01A-12D-A24R-08.3,9.85897
C828.TCGA-EB-A430-01A-11D-A24R-08.3,11.294
C828.TCGA-EB-A431-01A-11D-A25O-08.2,6.93899
C828.TCGA-EB-A44N-01A-11D-A25O-08.3,4.50575
C828.TCGA-EB-A44O-01A-11D-A25O-08.2,4.56278
C828.TCGA-EB-A44O-01A-11D-A25O-08.3,5.01724
C828.TCGA-EB-A4IS-01A-21D-A25O-08.3,9.87179
C828.TCGA-EB-A4OY-01A-11D-A25O-08.2,9.24757
C828.TCGA-EB-A4OY-01A-11D-A25O-08.3,9.47126
C828.TCGA-EB-A551-01A-21D-A27K-08.3,16.0071
C828.TCGA-EB-A6QY-01A-12D-A32N-08.3,372.906
C828.TCGA-EB-A82C-01A-11D-A34U-08.1,14.1516
C828.TCGA-EB-A85J-01A-12D-A34U-08.1,22.2666
C828.TCGA-ER-A194-01A-11D-A197-08.1,5.96331
C828.TCGA-ER-A19T-01A-11D-A19A-08.3,6.0641
C828.TCGA-ER-A2NB-01A-12D-A196-08.1,13.2723
C828.TCGA-FR-A3R1-01A-11D-A23B-08.2,39.1883
C828.TCGA-FR-A728-01A-11D-A32N-08.3,356.06
C828.TCGA-GF-A769-01A-32D-A32N-08.3,498.211
C828.TCGA-GN-A269-01A-11D-A19A-08.1,7.40981
C828.TCGA-GN-A269-01A-11D-A19A-08.2,7.40407
C828.TCGA-GN-A4U5-01A-11D-A32N-08.3,364.628
C828.TCGA-WE-A8K4-01A-12D-A372-08.1,19.0164
C828.TCGA-XV-AAZW-01A-12D-A401-08.1,11.6472
c89b1802-f617-46a0-8e28-af4e42e060f9_gdc_realn_rehead,99.7241
c92b3b05-9cdf-4dba-8f8e-e12e82b8e9ec_gdc_realn_rehead,137.884
c9c65605-30a5-4fad-8193-b35621936764_gdc_realn_rehead,71.6202
cb41fa4c-8c27-49b2-8070-593c6edccfc6_gdc_realn_rehead,70.7104
cc68e6a2-0865-4656-80fb-2594a64ffba9_gdc_realn_rehead,55.6627
cd0e8e79-5897-426d-803e-a6c3f1bbdfda_gdc_realn_rehead,114.986
cd32bd44e21d16ff5ac1cae774368ff8,80.9275
cdceb01f-0ea0-46a3-a1da-9bd84479235c_gdc_realn_rehead,58.8055
cf48323806a5515f0eff69a4af8893c6,151.963
d1731e80-53bc-4225-9097-8d7e32aa173a_gdc_realn_rehead,66.2025
d1986fd8-b966-4ace-ab1a-581a18ecbdbe_gdc_realn_rehead,62.4991
d1ada222-b67f-47c0-b380-091eaab093b4_gdc_realn_rehead,65.7166
d294375154b5e2554bb795980502c64e,24.328
d4f41f6d-7353-462d-ab1e-61adac431d8b_gdc_realn_rehead,84.7091
