ID,nIGH2,nIGK2,nIGL2,nTCRA2,nTCRB2,nTCRD2,nTCRG2,loadIGH2,loadIGK2,loadIGL2,loadTCRA2,loadTCRB2,loadTCRD2,loadTCRG2,alphaIGH2,alphaIGK2,alphaIGL2,alphaTCRA2,alphaTCRB2,alphaTCRD2,alphaTCRG2
de24d8b4-3113-480a-84bd-86d8f39560cf_gdc_realn_rehead,4,32,7,37,4,1,0,9,129,24,14409,8,2,0,1.36892236074,3.19704807479,1.83778525194,0.0916433870021,1.38629436112,-0.0,0
e0990992-6012-41ef-9db2-e0090973f822_gdc_realn_rehead,0,32,9,10,0,0,0,0,100,23,25,0,0,0,0,3.39376964036,2.12260606226,2.24515887199,0,0,0
e345e4fc-a026-4f70-8e35-ec0a60dc6218_gdc_realn_rehead,25,237,160,45,4,1,0,689,10630,6232,1096,8,95,0,1.24814509821,3.23627816324,3.2762081425,1.88093680687,1.38629436112,-0.0,0
e9ba1277-0d5b-413a-b30b-ed5df883f036_gdc_realn_rehead,5,117,27,31,2,2,0,15,482,77,148,4,4,0,1.52463352843,4.30877466693,3.19030980306,2.99512650958,0.69314718056,0.69314718056,0
ebf6d5b9-6359-46d9-9e73-066a15b5f903_gdc_realn_rehead,81,1371,517,346,4,9,0,427,11590,3497,2752,10,30,0,3.92279487545,6.35950047621,5.62113872405,4.58250356805,1.33217904021,2.10180447779,0
ed5e8d92-a12a-4da5-8433-6016e8ce1f5f_gdc_realn_rehead,2228,2651,1508,933,40,41,2,46905,66712,47318,12192,162,400,6,5.90944058948,5.83638402956,5.20003406362,3.56453932566,3.49382973297,2.93102254978,0.636514168295
f0230c35-06f0-4ef2-ad92-cdead9cd3612_gdc_realn_rehead,96,1183,551,298,7,11,0,825,19498,6350,6044,19,371,0,3.63985440909,5.67706304472,5.17465475725,3.33388980825,1.91330365675,1.77570110761,0
f4f6d8c0-a78d-4ee1-93e1-48a8c9d23cb4_gdc_realn_rehead,95,1215,477,271,10,12,1,892,14473,5884,1950,56,63,2,3.55695043329,5.92544089001,4.74894173038,4.79125053569,1.8008293981,2.17733593614,-0.0
fa14f063-b1b6-4e56-9b5c-c9c1248f5d1f_gdc_realn_rehead,224,459,144,630,17,10,1,2311,2772,1622,3029,95,26,2,4.51626720857,5.59737230978,3.89566493367,5.02354606791,2.54708956693,2.2581044308,-0.0
fa48365f-fe1b-44e6-94fc-c52b8a1ed7a0_gdc_realn_rehead,94,964,306,234,12,3,0,1031,25285,7606,2478,33,16,0,3.33607046144,3.31450857082,2.95572471937,3.69922510587,2.27879145822,0.831402520496,0
fa7246ef-c9ef-4494-9a5c-31b6eb90e802_gdc_realn_rehead,56,904,249,195,0,9,0,492,9829,2237,1427,0,56,0,3.27693456283,5.89651445391,4.47839884638,4.58346193069,0,1.73733111853,0
fb76cae1-8b63-4459-9c06-597dfd080a66_gdc_realn_rehead,563,827,334,719,63,6,2,25903,43463,13653,28416,435,24,6,4.64793956859,4.9549477407,4.4924371374,2.82402955117,3.43171820341,1.66570695833,0.69314718056
fd89981a-e0ad-425b-a456-60edba4bd7a5_gdc_realn_rehead,144,1753,632,428,5,19,1,1620,21028,7592,3755,13,81,2,3.74562859022,6.44954186647,5.44485362082,5.18558873867,1.51938266464,2.57252082156,-0.0
ff888786-bde7-40a5-aa86-3bd2ed0f717b_gdc_realn_rehead,21,171,90,51,4,1,0,114,1278,996,291,9,4,0,2.80153501409,4.33780036188,3.19185252408,3.5884070913,1.36892236074,-0.0,0
