ID,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG,loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
C828.TCGA-EB-A3XE-01A-12D-A23B-08.1,0,0,0,4,3,0,0,0,0,0,15,39,0,0,0,0,0,1.19445300632,1.0906913214,0,0
C828.TCGA-EB-A3XF-01A-31D-A23B-08.1,0,0,0,11,4,0,0,0,0,0,41,56,0,0,0,0,0,2.13919363242,1.16353509028,0,0
C828.TCGA-EB-A430-01A-11D-A24R-08.3,0,0,0,6,3,0,0,0,0,0,24,73,0,0,0,0,0,1.47350238508,1.0805478559,0,0
C828.TCGA-EB-A431-01A-11D-A25O-08.2,0,0,0,6,3,0,0,0,0,0,21,47,0,0,0,0,0,1.57474262415,1.07029838835,0,0
C828.TCGA-EB-A44O-01A-11D-A25O-08.2,0,0,0,2,3,0,0,0,0,0,4,25,0,0,0,0,0,0.69314718056,1.07409222137,0,0
C828.TCGA-EB-A44O-01A-11D-A25O-08.3,0,0,0,3,3,0,0,0,0,0,6,26,0,0,0,0,0,1.09861228867,1.07987533119,0,0
C828.TCGA-EB-A4IS-01A-21D-A25O-08.3,0,1,2,1,3,0,0,0,2,4,9,30,0,0,0,-0.0,0.69314718056,-0.0,1.04375703633,0,0
C828.TCGA-EB-A4OY-01A-11D-A25O-08.2,0,0,0,3,3,1,1,0,0,0,18,21,2,2,0,0,0,0.933823851715,1.05292256594,-0.0,-0.0
C828.TCGA-EB-A4OY-01A-11D-A25O-08.3,0,0,0,3,3,1,1,0,0,0,19,21,2,2,0,0,0,0.972480932338,1.05292256594,-0.0,-0.0
C828.TCGA-EB-A551-01A-21D-A27K-08.3,0,0,0,4,4,0,0,0,0,0,14,28,0,0,0,0,0,1.1537419427,1.26761388409,0,0
C828.TCGA-EB-A6QY-01A-12D-A32N-08.3,0,0,0,29,3,0,2,0,0,0,97,141,0,4,0,0,0,3.19970962546,1.04080270929,0,0.69314718056
C828.TCGA-EB-A82C-01A-11D-A34U-08.1,0,0,0,2,3,0,0,0,0,0,23,44,0,0,0,0,0,0.295439191872,1.0662136214,0,0
C828.TCGA-EB-A85J-01A-12D-A34U-08.1,1,1,1,4,3,0,0,2,2,2,23,38,0,0,-0.0,-0.0,-0.0,0.942892253143,1.09588715421,0,0
C828.TCGA-ER-A194-01A-11D-A197-08.1,0,0,0,2,4,0,0,0,0,0,9,42,0,0,0,0,0,0.529706199058,1.22051801206,0,0
C828.TCGA-ER-A19T-01A-11D-A19A-08.3,0,0,0,4,3,0,0,0,0,0,34,58,0,0,0,0,0,0.916068137015,1.0714250995,0,0
